,CLM_NBR,AUTO_ACCIDENT_DESC,CLAIMANT_STATUS,APPR_DAM_EST_REC_CNT,VEH_COLR_TXT,VEH_DAM_TXT,CLMT_VEH_MDL_NM,CLMT_VEH_YR,VEH_TYPE,VEH_PRIMARY_PT_OF_DAMAGE,AIRBAG_DEPLOYED,VEH_SPEED_AT_IMPACT
4379,05AZZM3,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,POI-DMG: FRONT END,SUBURBAN 3,1998,Automobile,Complete Front End,Unknown,Unknown
4387,6OYCL9U,Single Veh,Closed with Payment,1,RED,POI: F/E  DASHBRD B,F-150,1995,Automobile,Complete Front End,One,Unknown
4389,7D2ZSYL,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,FRONT END DAMAGE,540I,2017,Automobile,Complete Front End,None,Unknown
4392,4FEW719,Multi Veh - Unclear Liab,Closed with Payment,1,RED,"P/S FRONT CORNER, W",CHEROKEE L,2016,Automobile,Passenger Front Corner,More than one,Over 50 mph
4395,3GANIRE,Multi Veh - Unclear Liab,Closed with Payment,2,Black,POI: FRONT BUMPER D,ACCORD SE,2011,Automobile,Complete Front End,One,21-50 mph
4399,7O36R7U,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI: FRT END CRUNCH,CAMRY,2004,Automobile,Complete Front End,None,21-50 mph
4407,WX19NE9,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,SEVERE FRT END DMG,X3 3.0SI A,2007,Automobile,Complete Front End,More than one,Over 50 mph
4422,G1B517O,Multi Veh - Unclear Liab,Closed without Payment,0,BLACK,P/S FRNT DOOR,SONATA HYB,2013,Automobile,Passenger Front Corner,None,Parked or Stopped
4424,SL3GRHZ,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE DIAMOND,POI: P/S R/E BUMPER,STS,2007,Automobile,Passenger Rear Corner,None,Unknown
4444,IIZ04WA,Multi Veh - Unclear Liab,Closed without Payment,1,GOLD,BUMPER DAMAGED,SENTRA XE/,2003,Automobile,Complete Front End,None,10-20 mph
4453,RLADLDI,Multi Veh - Unclear Liab,Closed without Payment,1,GOLD,SHE DOES NOT THINK,SIERRA 250,2006,Automobile,No Damage,None,Unknown
4455,VY2DLNF,Multi Veh - Unclear Liab,Closed without Payment,0,WHITE,HOOD SMASHED//FRONT,MUSTANG,2007,Automobile,Passenger Front Corner,One,Unknown
4458,0IW43VR,Multi Veh - Unclear Liab,Closed with Payment,3,GRAY,"EXHAUST SYSTEM, REA",ESCAPE SE,2015,Automobile,Complete Rear End,None,Parked or Stopped
4462,MBTY6SN,Multi Veh - Unclear Liab,Closed with Payment,2,GREEN,FULL FRONT END DMG,900 S,1998,Automobile,Complete Front End,More than one,21-50 mph
4471,IE4GFWE,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,FRT BUMPER FENDER H,CABRIO,1995,Automobile,Complete Front End,More than one,Unknown
4487,5KDXOBW,Multi Veh - Unclear Liab,Closed with Payment,2,DK.GRAY MET,REAR END AND FRONT,ACCORD LX,2007,Automobile,Complete Rear End,None,Parked or Stopped
4495,KV2CV15,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,DAMAGE TP P/S REAR,JOURNEY SX,2009,Automobile,Passenger Rear Corner,None,21-50 mph
4501,HALDIFK,Multi Veh - Unclear Liab,Closed with Payment,1,UNKNOWN,"DS DOOR, AND REAR T",CX-5,1900,Automobile,Complete Driver Side,One,Unknown
4503,IXOOG99,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,REAR BUMPER PUNCTUR,ALTIMA,2008,Automobile,Complete Rear End,None,Parked or Stopped
4521,9F1ZW3G,Multi Veh - Clear Liab,Closed with Payment,3,gray,SUP FRONT BUMPE,TERRAIN SL,2019,Automobile,Complete Front End,None,Unknown
4524,3MBZHSA,Multi Veh - Unclear Liab,Closed with Payment,1,BEIGE,COMPLETE DRIVER SID,FUSION SEL,2008,Automobile,Complete Driver Side,None,Unknown
4530,VOLK8QF,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI: FRONT P/S FEND,UNKNOWN,1900,Automobile,Passenger Front Corner,Unknown,Unknown
4542,P3M9Y21,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,PRIMARY POINT OF DA,SPORTAGE L,2016,Automobile,Passenger Rear Corner,None,Unknown
4544,MKJPR25,Multi Veh - Unclear Liab,Closed without Payment,1,RED,PARKING LIGHT AND B,F-150,1998,Automobile,Driver Front Corner,None,Unknown
4546,A3BZEE2,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,POI/DMG- FRONT BUMP,ACCORD LX,2012,Automobile,Complete Front End,None,Below 10 mph
4549,41AAQ5N,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,D/S DOOR DMG,IMPREZA 2.,2013,Automobile,Driver Center,None,Unknown
4557,VBEYKL6,Multi Veh - Unclear Liab,Closed with Payment,3,BLUE MET,POI: P/S FENDER BUM,SILVERAD,2011,Automobile,Passenger Front Corner,None,10-20 mph
4560,Y9O6TO0,Multi Veh - Unclear Liab,Closed without Payment,1,UNKNOWN,POI: R/E COLLISION,SANTA FE,2013,Automobile,Driver Rear Corner,Unknown,Parked or Stopped
4578,FTP0PVR,Multi Veh - Unclear Liab,Closed with Payment,4,RED,2 RT SIDE DOORS LOW,X3 XDRIVE,2014,Automobile,Complete Passenger Side,None,Unknown
4581,ZI1PXBX,Single Veh,Closed with Payment,1,Red 3r3,POI:FRT CENTERBUMPE,CAMRY BASE,2011,Automobile,Complete Front End,None,21-50 mph
4590,T7YR3KJ,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,UNKNOWN,OUTBACK 2.,2018,Automobile,Passenger Front Corner,None,Unknown
4599,60RUU80,Multi Veh - Unclear Liab,Closed with Payment,1,RED,"D/S BUMPER,D/S FOG",ALERO GL,2003,Automobile,Driver Front Corner,None,Below 10 mph
4608,BMRR2CI,Multi Veh - Unclear Liab,Closed without Payment,0,Gray,POI-UNKNN FRONT ED,FOCUS,2017,Automobile,Complete Front End,Unknown,Over 50 mph
4611,PE4IM7T,Single Veh,Closed with Payment,1,SILVER,POI:  ENTIRE FRONT,F-150 SUPE,2013,Automobile,Complete Front End,More than one,21-50 mph
4626,294HSC1,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,COMPLETE F/E BUMPER,EQUINOX LT,2009,Automobile,Complete Front End,None,Below 10 mph
4628,U8UVJP4,Multi Veh - Unclear Liab,Closed with Payment,3,WHITE,"BUMPER, GRILL, HOOD",ROGUE AWD,2014,Automobile,Complete Front End,None,10-20 mph
4638,IIOUD8N,Multi Veh - Unclear Liab,Closed without Payment,1,RED,COMPLETE REAR END C,PASSAT 1.8,2015,Automobile,Complete Rear End,None,Parked or Stopped
4642,4T1K289,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,FRT END,AVALON XL/,2002,Automobile,Complete Front End,More than one,21-50 mph
4648,OSS0D24,Multi Veh - Unclear Liab,Closed with Payment,2,Silver,FRONT P/S BUMPER,TAURUS SE,2014,Automobile,Driver Front Corner,None,Below 10 mph
4651,7SO5JAL,Single Veh,Closed without Payment,1,METALLIC BLUE,POI: ROLLED - DAMAG,626 LX/626,2002,Automobile,All Over,Unknown,21-50 mph
4660,DI86UTM,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI/DMG: P/S QTR/RE,LESABRE CU,2004,Automobile,Passenger Rear Corner,None,Below 10 mph
4666,PS8WID3,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"RAIDATOR, BUMPER, G",EDGE SE AW,2015,Automobile,Complete Front End,One,21-50 mph
4669,DD1P4C6,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,DRIVER DOOR WON'T C,MAXIMA SE/,2004,Automobile,Driver Front Corner,More than one,10-20 mph
4678,IOIEW4K,Multi Veh - Unclear Liab,Closed with Payment,1,RED,"REAR P/S BUMPER , T",SILVERADO,2004,Automobile,Passenger Rear Corner,One,Unknown
4686,USRJBV2,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,BUMPER BROKEN TAIL,PRIUS,2014,Automobile,Driver Rear Corner,None,Parked or Stopped
4690,9JOTUJW,Multi Veh - Unclear Liab,Closed without Payment,0,BEIGE,GRILL DENTED,LESABRE CU,2002,Automobile,Complete Front End,None,Parked or Stopped
4694,ZRE1MDW,Multi Veh - Unclear Liab,Closed with Payment,2,Black,FRONT BUMPER IS SMA,TAHOE LS/L,2007,Automobile,Complete Front End,One,21-50 mph
4700,E2DBRKC,Single Veh,Closed with Payment,3,BLUE,D/S DENTED FENDER;D,TERRAIN SL,2012,Automobile,Driver Front Corner,None,Over 50 mph
4703,8Z8YRNP,Multi Veh - Unclear Liab,Closed with Payment,2,GREEN,MINOR DAMAGE - D/S,ML350 4MAT,2007,Automobile,Driver Front Corner,None,21-50 mph
4706,8U0BQPG,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,UNK,FIT SPORT,2013,Automobile,Driver Front Corner,Unknown,Unknown
4715,U89K0RH,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,PRIMARY POINT OF DA,MAZDA6 I T,2012,Automobile,Complete Front End,More than one,21-50 mph
4719,IMP9UPO,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,DMG TO PS DOOR BY T,CTS PERFOR,2011,Automobile,Passenger Center,None,Over 50 mph
4721,TZUNQ51,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,DMG TO FRONT END. P,EQUATOR EX,2009,Automobile,Complete Front End,One,Below 10 mph
4724,4W1LTHB,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,DAMAGES UNKNOWN,FORESTER 2,2012,Automobile,Complete Front End,None,Unknown
4727,I093191,Single Veh,Closed with Payment,1,BLUE,POI: FRONT BUMPER A,ACADIA S,2014,Automobile,All Over,More than one,21-50 mph
4735,HXIXCNK,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI: FRONT HOOD BUM,CR-V EX,2006,Automobile,Complete Front End,None,Below 10 mph
4737,9LGQID7,Multi Veh - Unclear Liab,Closed with Payment,2,Blue,POI: REAR EXTENT: B,CAMRY BASE,2011,Automobile,Complete Rear End,None,Parked or Stopped
4739,KA8ZDJY,Multi Veh - Clear Liab,Closed with Payment,1,BROWN,FRONT CRUSHED IN,CRV,2015,Automobile,Complete Front End,More than one,Parked or Stopped
4741,W56W1H5,Multi Veh - Unclear Liab,Closed with Payment,3,Brown,"FRONT END, PAINT DA",SILVERADO,2015,Automobile,Complete Front End,None,21-50 mph
4745,JLK6G9Z,Multi Veh - Unclear Liab,Closed without Payment,1,Black,F/E IS SCRATCHED.,RAV4 LE AW,2017,Automobile,Complete Front End,None,Below 10 mph
4754,G6L4NTJ,Multi Veh - Unclear Liab,Closed with Payment,1,MAROON,POI: IV ROLLED AIRB,SX4,2008,Automobile,All Over,One,Over 50 mph
4763,C9DCC44,Multi Veh - Unclear Liab,Closed with Payment,3,White,"GRILL SEPARATED, LI",ENVISION A,2018,Automobile,Complete Front End,None,10-20 mph
4765,JVYK62R,Single Veh,Closed without Payment,1,White Pearl,PRIMARY POINT OF DA,RAV4 LIMIT,2011,Automobile,Complete Passenger Side,None,21-50 mph
4769,55ZEEY9,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,P/S QUARTER PANEL D,A4 2.0T PR,2018,Automobile,Passenger Rear Corner,More than one,21-50 mph
4784,00Z4WFS,Multi Veh - Unclear Liab,Closed with Payment,1,RED,POI:FT BUMPER GRILL,ALTIMA 2.5,2003,Automobile,Complete Front End,None,10-20 mph
4785,4A95HWV,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,RADIATOR DAMAGE AND,ACCORD SE,2011,Automobile,Complete Front End,None,Below 10 mph
4790,3RY12VS,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,POI: FRONT BUMPER H,COROLLA,1900,Automobile,Complete Front End,None,Below 10 mph
4794,4SRC9Z2,Multi Veh - Unclear Liab,Closed without Payment,2,White,POI: FR BUMPER AND,SONOMA,1998,Automobile,Complete Front End,None,21-50 mph
4798,ZIY8M16,Multi Veh - Unclear Liab,Closed without Payment,1,T7=MATADOR RED,"P/S REAR BUMPER, TR",Q5 QUATTRO,2018,Automobile,Passenger Rear Corner,None,10-20 mph
4800,ZKCTHSH,Multi Veh - Unclear Liab,Closed with Payment,1,Gray,P/S DOORS PUSHED IN,ACCORD LX,2009,Automobile,Passenger Center,None,Below 10 mph
4803,6Q7DNI0,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,POI: FRONT BUMPER-,A4 3.2 QUA,2007,Automobile,Complete Front End,None,Below 10 mph
4807,IUIAKR9,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,POI P/S COMPLETE RO,COMMANDER,2008,Automobile,Complete Passenger Side,More than one,10-20 mph
4809,NB0483K,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,POI: REAR END DMG,ODYSSEY TO,2011,Automobile,Complete Rear End,None,Unknown
4815,PFM3DS9,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,"FRONT END, ENTIRE D",ACCORD LX,2015,Automobile,Driver Front Corner,One,21-50 mph
4819,XPVGA9E,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,"REAR BUMPER, FRAME,",MKZ,2011,Automobile,Complete Rear End,None,Below 10 mph
4823,F4EW01Y,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,D/S DENTED,CRUZE LIMI,2016,Automobile,Driver Center,More than one,Below 10 mph
4832,XA1QX3Q,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,WHOLE REAR IN PUSHE,MX-5 MIATA,2007,Automobile,Complete Rear End,None,21-50 mph
4842,WQBI0LY,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,D/S CENTER DAMAGE,YUKON XL D,2016,Automobile,Driver Center,More than one,Below 10 mph
4862,832JJ1G,Multi Veh - Unclear Liab,Closed with Payment,1,RED,"FRAME BENT, HOOD, Q",A4 3.2 QUA,2009,Automobile,Complete Front End,None,10-20 mph
4865,OP6VDRX,Multi Veh - Unclear Liab,Closed with Payment,1,MAROON,POI:FRT END CRUSHED,SIERRA 150,2005,Automobile,Complete Front End,None,21-50 mph
4869,7EU4GRI,Multi Veh - Unclear Liab,Closed without Payment,1,Silver,PRIMARY POINT OF DA,RAM PICKUP,2012,Automobile,Complete Rear End,None,Unknown
4871,DZVO9C9,Single Veh,Closed with Payment,1,GREEN,UNKNOWN/NOT DRIVABL,MIATA,1991,Automobile,Complete Front End,None,Unknown
4874,160P8LA,Single Veh,Closed with Payment,1,GOLD,POI ENTIRE FRONT EN,CIVIC EX,2001,Automobile,Complete Front End,None,Over 50 mph
4876,QVJVWHT,Multi Veh - Unclear Liab,Closed with Payment,4,Red,POI: FRONT D/S DOOR,PRIUS BASE,2007,Automobile,Driver Front Corner,None,10-20 mph
4882,QMBUEIP,Multi Veh - Unclear Liab,Closed with Payment,2,Black,POI: R/E INSD DOESN,SONATA SE/,2012,Automobile,Complete Rear End,None,Parked or Stopped
4886,OZE83I9,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,POI:P/S F/E LIGHT B,MALIBU LS,2009,Automobile,Passenger Front Corner,None,Unknown
4898,D9NZOZ6,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,PAINT TRANSFER TO R,SENTRA S/F,2013,Automobile,Complete Rear End,None,Parked or Stopped
4913,QG7EOSN,Multi Veh - Unclear Liab,Closed with Payment,1,Black,POI: P.S FENDER PUS,COROLLA L/,2012,Automobile,Passenger Front Corner,None,Below 10 mph
4925,YT2SEW2,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,VERIFY DMG,EXPEDITION,2005,Automobile,No Damage,None,Unknown
4931,KRE16ZB,Multi Veh - Unclear Liab,Closed without Payment,1,White PEARL,POI: P/S QRTR PANEL,SONATA GLS,2014,Automobile,Passenger Rear Corner,None,10-20 mph
4935,4MSNAQW,Single Veh,Closed with Payment,2,Black,FRONT DOOR IS DENTE,SORENTO LX,2018,Automobile,Driver Center,None,Unknown
4938,3M9L31J,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,F/E PS HEADLIGHT DM,FIESTA SE,2012,Automobile,Complete Front End,None,21-50 mph
4942,QKDMA2F,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,FRONT BUMPER AND HO,JETTA SE,2013,Automobile,Complete Front End,None,Unknown
4944,Y6AP8YF,Multi Veh - Unclear Liab,Closed with Payment,1,BROWN,FRONT END GRILL AND,ACCLAIM,1994,Automobile,Complete Front End,None,10-20 mph
4947,JXNTYQN,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,D/S EXTENT UNKNOWN,BEETLE,2013,Automobile,Driver Front Corner,None,Unknown
4953,WFGT8U5,Single Veh,Closed with Payment,1,SILVER,POI: UNK DMG UNK,ELEMENT LX,2006,Automobile,Driver Front Corner,Unknown,Unknown
4961,RZ5FGRS,Multi Veh - Unclear Liab,Closed with Payment,1,GOLD,REAR BUMPER CRUSHED,LACROSSE C,2005,Automobile,Complete Rear End,None,Parked or Stopped
4964,1I9ME9N,Multi Veh - Unclear Liab,Closed without Payment,0,TAN,POI: FRONT END NO D,BONNEVILLE,2001,Automobile,Driver Front Corner,None,21-50 mph
4967,4S15T92,Multi Veh - Unclear Liab,Closed with Payment,3,BLACK,POI:D/S FT CRNR...,CIVIC LX,2012,Automobile,Driver Front Corner,None,Below 10 mph
4969,9BFBBD8,Multi Veh - Unclear Liab,Closed without Payment,1,GREEN/BROWN,BUMPER DMG,EXPLORER S,2005,Automobile,Complete Rear End,None,Parked or Stopped
4971,8J0OWHQ,Multi Veh - Unclear Liab,Closed with Payment,1,RED,P/S FRONT CORNER DA,ACCORD SPO,2017,Automobile,Passenger Front Corner,More than one,10-20 mph
4977,XVJIAJB,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"FRT END COMPLETE, D",PRIUS V,2014,Automobile,Complete Front End,More than one,21-50 mph
4985,IBPIWA6,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,REAR END D/S CORNER,PILOT EX,2008,Automobile,Driver Rear Corner,None,Parked or Stopped
4988,4PB1DJA,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,ALL OVER DAMAGED.,ODYSSEY EX,2003,Automobile,All Over,More than one,Parked or Stopped
4991,QWYAGIW,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,UNSURE OF EXT OF DM,G35 AWD,2006,Automobile,Complete Front End,More than one,Unknown
5011,KNTGUUG,Multi Veh - Unclear Liab,Closed without Payment,2,SILVER,DRIVER REAR CORNER,CAVALIER,2002,Automobile,Driver Rear Corner,Unknown,Unknown
5017,DS68KFS,Multi Veh - Unclear Liab,Closed with Payment,4,WHITE,POI: FRONT BUMPER H,IMPREZA WR,2011,Automobile,Complete Front End,None,10-20 mph
5019,1V131FD,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,NO DAMAGE,CR-V EX,2014,Automobile,No Damage,None,Below 10 mph
5021,CKJBQ6J,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,P/S FRONT TIRE DAMA,CAMRY LE/S,2015,Automobile,Complete Passenger Side,One,21-50 mph
5029,85I6SGZ,Multi Veh - Unclear Liab,Closed without Payment,1,White,POI: FRONT/END SMAS,F-150,1998,Automobile,Complete Front End,One,21-50 mph
5031,EK2LKUZ,Multi Veh - Unclear Liab,Closed with Payment,1,Gray,POI: REAR BUMPER IS,F-150 SUPE,2013,Automobile,Complete Rear End,None,Below 10 mph
5033,I4SQY2P,Multi Veh - Unclear Liab,Closed with Payment,5,Red,"BUMPER, GRILL",UNKNOWN,2019,Automobile,Driver Front Corner,None,Below 10 mph
5036,9J2T3LS,Single Veh,Closed with Payment,3,TEAL,POI: FRONT OF IV CA,COBALT,2010,Automobile,Complete Front End,None,21-50 mph
5039,50QF3YE,Multi Veh - Unclear Liab,Closed with Payment,2,Black,BUMPER BENT/TRUNK C,S550,2015,Automobile,Passenger Rear Corner,None,Unknown
5042,KD2JFR1,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,D/S MIRROR KNOCKED,ACCORD EX,2003,Automobile,Driver Front Corner,None,Parked or Stopped
5046,0AAX11J,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI: ENTIRE DS CRUS,CAMRY L/LE,2014,Automobile,Complete Driver Side,More than one,21-50 mph
5054,E8U848D,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,PRIMARY POINT OF DA,ESCAPE XLT,2011,Automobile,Complete Front End,None,Parked or Stopped
5057,EQ4DJWO,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,REAR D/S BUMPER POP,SONATA SE,2016,Automobile,Complete Rear End,None,Parked or Stopped
5069,OFGA2B9,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,FRONT AND REAR PS S,ES 330,2005,Automobile,Passenger Front Corner,None,Below 10 mph
5081,GHFDNMI,Multi Veh - Unclear Liab,Closed with Payment,2,Beige,SUPP,COROLLA CE,2006,Automobile,Complete Rear End,None,Below 10 mph
5084,CQFOBMU,Multi Veh - Clear Liab,Closed without Payment,1,GREY,"TRUNK DAMAGED, BACK",MKZ,2012,Automobile,Complete Rear End,None,Parked or Stopped
5091,BTRLT3B,Multi Veh - Unclear Liab,Closed without Payment,0,TAN,COMPLETE FRONT END,COROLLA CE,2004,Automobile,Complete Front End,None,21-50 mph
5103,2J6L4DR,Multi Veh - Unclear Liab,Closed with Payment,3,BLACK,POI: FRONT BUMPER G,SORENTO LX,2014,Automobile,Complete Front End,More than one,Unknown
5117,FVTQ7K5,Multi Veh - Unclear Liab,Closed with Payment,1,UNKNOWN,FRONT DOOR DENTED I,GRAND CHER,1993,Automobile,Driver Center,None,21-50 mph
5121,LP5Q6UQ,Single Veh,Closed with Payment,1,WHITE,POI:P/S CENTER TO R,TC,2008,Automobile,Passenger Rear Corner,One,Unknown
5127,EG7ANV4,Multi Veh - Unclear Liab,Closed with Payment,3,Blue,POI: REAR AND FRONT,535I,2013,Automobile,Complete Rear End,Unknown,Over 50 mph
5129,B17281P,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,POI: BUMPER IS SCRA,COROLLA CE,2006,Automobile,Complete Front End,None,21-50 mph
5132,ERLK4UQ,Multi Veh - Unclear Liab,Closed with Payment,1,MAROON,POI: FRONT END VERI,CAMRY,2000,Automobile,Complete Front End,More than one,Unknown
5148,RW2YSTO,Multi Veh - Unclear Liab,Closed with Payment,2,Black met,POI- F/E P/S BUMPER,ELANTRA TO,2012,Automobile,Passenger Front Corner,None,Unknown
5151,JERRNMF,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,REAR END DMG - UNK,M35/M35 SP,2006,Automobile,Complete Rear End,None,Parked or Stopped
5161,10KPGDH,Multi Veh - Unclear Liab,Closed with Payment,1,MAROON,PRIMARY POINT OF DA,ARMADA SV/,2018,Automobile,Driver Rear Corner,More than one,21-50 mph
5164,KEOXNOG,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,P/S DAMAGE- UNKNOWN,ELANTRA GL,2002,Automobile,Complete Passenger Side,None,Below 10 mph
5166,A2K6SYT,Multi Veh - Clear Liab,Closed with Payment,1,UNKNOWN,"ABS LIGHTS, RADITOR",G35,2005,Automobile,Complete Front End,None,Unknown
5169,4FFG34Z,Multi Veh - Unclear Liab,Closed with Payment,1,MAROON,"BUMPER, GRILL AND H",TRAX LS AW,2017,Automobile,Complete Front End,More than one,Over 50 mph
5171,S3YWGCE,Multi Veh - Unclear Liab,Closed with Payment,2,WHITE,UNK.,IMPALA LT,2010,Automobile,Complete Front End,One,Unknown
5181,906JE3Z,Multi Veh - Unclear Liab,Closed with Payment,2,Black,POI-P/S FRONT  TO B,MAZDA3 I S,2015,Automobile,Complete Passenger Side,More than one,Below 10 mph
5184,JWPFYFS,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,UNKNOWN,RX 350 AW,2015,Automobile,Driver Front Corner,None,Unknown
5190,6FOANKC,Single Veh,Closed with Payment,1,BLACK,PRIMARY POINT OF DA,SONATA GLS,2006,Automobile,All Over,More than one,Unknown
5192,WE47EPK,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE,R/E SMASHED,MALIBU LS,2015,Automobile,Complete Rear End,None,Parked or Stopped
5194,MB20ZOC,Multi Veh - Unclear Liab,Closed with Payment,2,Black,POI: P/S FT DOOR WO,QX56,2012,Automobile,Passenger Front Corner,None,10-20 mph
5198,SP0USU5,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,FRONT AND REAR ENDS,SONATA GLS,2011,Automobile,Complete Front End,None,Parked or Stopped
5202,6MW1B1Z,Multi Veh - Unclear Liab,Closed without Payment,1,RED,POI:  REAR BUMPER C,RAM RAM TR,2013,Automobile,Complete Rear End,None,Parked or Stopped
5207,3QQIQNF,Multi Veh - Unclear Liab,Closed with Payment,1,BROWN,P/S FENDER ARE DAMA,PILOT TOUR,2012,Automobile,Passenger Front Corner,More than one,Unknown
5217,19WNAH1,Multi Veh - Unclear Liab,Closed with Payment,2,BLUE,POI: COMPLETE FRONT,PILOT EX,2014,Automobile,Complete Front End,One,21-50 mph
5220,04G5YVG,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,POI: REAR BUMPER,650I,2006,Automobile,Complete Rear End,None,Parked or Stopped
5232,UP4LVNS,Single Veh,Closed with Payment,1,SILVER,P/S FRONT SMASHED I,LACROSSE,2017,Automobile,Passenger Front Corner,More than one,Unknown
5234,DA0IRTE,Multi Veh - Unclear Liab,Closed without Payment,1,Red,PAINT EXCHANGE,F-250 SUPE,2014,Automobile,Driver Front Corner,None,Unknown
5238,WPNNFTI,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,POI COMPLETE FRONT,GTI,2012,Automobile,Complete Front End,More than one,21-50 mph
5244,GL7IP7M,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,"D/S REAR WHEEL, D/S",PRIUS BASE,2008,Automobile,Driver Rear Corner,None,21-50 mph
5247,4YT4JEU,Single Veh,Closed without Payment,0,NAVY BLUE,FRONT BUMPER AND RE,CAMARO 2SS,2013,Automobile,Complete Front End,None,21-50 mph
5251,WRYI9W5,Multi Veh - Unclear Liab,Closed without Payment,1,BLUE MET CC,P/S REAR DOOR QP BU,ALTIMA BAS,2012,Automobile,Passenger Rear Corner,None,Below 10 mph
5267,FN78B45,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,BACK END PUSHED INT,ESCAPE XLT,2010,Automobile,Complete Rear End,None,Parked or Stopped
5270,9WDHIKF,Multi Veh - Unclear Liab,Closed with Payment,2,GRAY,FENDER CRUNCHED IN,SRX LUXURY,2012,Automobile,Passenger Front Corner,None,21-50 mph
5282,TL5IAHA,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,REAR D/S TIRE AND F,ALTIMA BAS,2005,Automobile,Driver Rear Corner,None,10-20 mph
5286,7U7A5OG,Multi Veh - Unclear Liab,Closed with Payment,1,GOLD,POI: P/S DOOR AREA,CIVIC LX,2005,Automobile,Driver Center,None,10-20 mph
5288,8YNKEU8,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,FRT DS AND DOOR,JUKE S/SV/,2014,Automobile,Driver Front Corner,More than one,10-20 mph
5294,32F37LR,Multi Veh - Unclear Liab,Closed with Payment,2,CRAMBERL,REAR END DMG/TIRE/R,EDGE SEL P,2007,Automobile,Complete Rear End,None,Parked or Stopped
5298,4TJ0882,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,D/S AND P/S FRONT Q,EOS,2007,Automobile,Passenger Front Corner,None,10-20 mph
